EmpID,StartDate,ExitDate,Total Employment Time,DOB,Age at Termination Date,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,DepartmentType,Division,State,JobFunctionDescription,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3449,2023-05-10,2023-05-27,17 days 00:00:00,1992-09-18,30,Area Sales Manager,Ashley Reeves,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Sales,General - Eng,CO,Technician,Male,Black,Single,Fully Meets,5
3450,2020-09-01,2022-12-04,824 days 00:00:00,1994-08-11,28,Area Sales Manager,Stanley Harvey,MSC,Active,Contract,Zone C,Temporary,Resignation,Sales,Field Operations,CO,Operator,Male,Other,Single,Exceeds,2
3451,2021-02-18,2022-11-11,631 days 00:00:00,1968-01-15,54,Area Sales Manager,Michael Bradshaw,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Sales,General - Con,CO,Technician,Male,Other,Divorced,Exceeds,3
3452,2022-11-08,,Active,1947-01-07,,Area Sales Manager,Debbie Crosby,PYZ,Active,Part-Time,Zone A,Part-Time,Active,Sales,General - Con,IN,Foreman,Male,Black,Divorced,Fully Meets,2
3453,2022-10-13,,Active,1982-04-07,,Area Sales Manager,Elizabeth Taylor,WBL,Active,Contract,Zone C,Part-Time,Active,Sales,Fielders,MA,Engineer,Male,White,Widowed,Fully Meets,4
3454,2022-09-11,,Active,1970-01-29,,Area Sales Manager,Brian Dunlap,PYZ,Active,Full-Time,Zone C,Full-Time,Active,IT/IS,General - Con,KY,Foreman,Male,Hispanic,Married,Needs Improvement,4
3455,2021-06-29,2022-07-05,371 days 00:00:00,1999-01-18,23,Area Sales Manager,Daniel Rodriguez,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Project Management - Eng,KY,Manager,Male,Other,Widowed,Exceeds,4
3456,2023-03-06,,Active,1946-09-25,,Area Sales Manager,Martin Hammond,NEL,Active,Full-Time,Zone A,Temporary,Active,Sales,Field Operations,KY,Technician,Female,Black,Divorced,Fully Meets,3
3457,2020-09-25,,Active,1947-08-23,,Area Sales Manager,Sara Bell,PL,Active,Full-Time,Zone B,Temporary,Active,Sales,Engineers,KY,Technician,Female,White,Divorced,Needs Improvement,3
3458,2022-04-28,2023-05-24,391 days 00:00:00,1996-08-12,26,Area Sales Manager,Elizabeth Anderson,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Sales,Field Operations,TX,Laborer,Female,Hispanic,Single,Needs Improvement,3
3459,2021-04-18,2022-06-21,429 days 00:00:00,1944-02-09,78,Area Sales Manager,Erin Bailey,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Sales,General - Con,TX,Splicer,Male,Black,Widowed,Exceeds,2
3460,2020-02-19,,Active,1944-02-10,,Area Sales Manager,Dennis Henderson,SVG,Active,Full-Time,Zone A,Full-Time,Active,Sales,Aerial,TX,Lineman,Male,Asian,Married,Fully Meets,3
3461,2019-07-18,2021-10-01,806 days 00:00:00,1997-12-29,23,Area Sales Manager,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Sales,General - Con,CO,Foreman,Male,Hispanic,Married,Needs Improvement,1
3462,2018-09-13,2021-09-17,1100 days 00:00:00,1942-08-09,79,Area Sales Manager,Brianna Mathews,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Sales,Field Operations,CO,Coordinator,Male,Hispanic,Divorced,Needs Improvement,3
3463,2020-04-30,2021-07-18,444 days 00:00:00,1951-06-21,70,Area Sales Manager,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Sales,Field Operations,IN,Tower Hand,Male,Hispanic,Single,Fully Meets,1
3464,2018-12-03,2022-09-09,1376 days 00:00:00,1998-06-17,24,Area Sales Manager,Mark Harris,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Sales,Shop (Fleet),MA,Mechanic,Male,Black,Widowed,Needs Improvement,5
3465,2021-11-08,,Active,1962-01-07,,Area Sales Manager,Elizabeth Tapia,WBL,Active,Full-Time,Zone B,Full-Time,Active,Sales,General - Con,MA,Flagger,Male,Asian,Divorced,Needs Improvement,3
3466,2022-04-13,2023-04-10,362 days 00:00:00,1979-01-26,44,Area Sales Manager,Jon Holden,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,IT/IS,Aerial,KY,Supervisor,Male,Other,Married,Exceeds,4
3467,2020-05-06,,Active,1987-05-14,,Area Sales Manager,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Active,Sales,Fielders,KY,Engineer,Female,Asian,Divorced,Exceeds,1
3468,2019-09-09,,Active,1998-04-26,,Area Sales Manager,Andres Parker,NEL,Active,Contract,Zone B,Temporary,Active,Sales,Wireline Construction,KY,Foreman,Female,Black,Single,Fully Meets,4
3469,2020-07-29,2023-01-05,890 days 00:00:00,1945-02-21,77,Area Sales Manager,James Berry,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Sales,Field Operations,TX,Driver,Female,Asian,Divorced,Needs Improvement,3
3470,2018-11-14,2019-10-28,348 days 00:00:00,1997-05-31,22,Area Sales Manager,Gail Ali,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Sales,Field Operations,TX,Technician,Female,Black,Married,Needs Improvement,3
3471,2020-02-29,,Active,1967-01-03,,Area Sales Manager,John Marshall,CCDR,Active,Part-Time,Zone C,Temporary,Active,Sales,Field Operations,TX,Foreman,Male,Asian,Married,Fully Meets,4
3472,2023-01-15,,Active,1982-01-12,,Area Sales Manager,Jessica Chang,SVG,Active,Contract,Zone C,Full-Time,Active,Sales,Project Management - Con,TX,Director,Male,Other,Married,Exceeds,4
3473,2023-06-29,,Active,1950-10-01,,Area Sales Manager,Desiree Vang,EW,Active,Part-Time,Zone A,Temporary,Active,Sales,Shop (Fleet),CO,Manager,Male,Hispanic,Widowed,Exceeds,2
3474,2020-03-09,,Active,1965-12-16,,Area Sales Manager,Andrew Goodman,MSC,Active,Full-Time,Zone A,Temporary,Active,Sales,Catv,CO,Laborer,Male,Other,Divorced,Fully Meets,2
3475,2021-09-21,2023-04-13,569 days 00:00:00,1957-12-25,65,Area Sales Manager,Rebecca Simpson,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Sales,General - Con,IN,Foreman,Male,Asian,Widowed,Fully Meets,2
3476,2023-06-12,2023-07-06,24 days 00:00:00,1945-06-20,78,Area Sales Manager,Samantha Cardenas,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Sales,Fielders,MA,Engineer,Male,Asian,Divorced,Needs Improvement,2
3477,2019-04-07,,Active,1969-12-03,,Area Sales Manager,Nancy Johnson,PYZ,Active,Part-Time,Zone A,Full-Time,Active,IT/IS,Aerial,KY,Laborer,Female,Asian,Widowed,Needs Improvement,2
3478,2018-09-17,2019-01-09,114 days 00:00:00,1957-10-10,61,Area Sales Manager,Richard Hodges,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Wireline Construction,KY,Groundman,Female,Hispanic,Married,Fully Meets,2
3479,2022-08-02,2023-04-02,243 days 00:00:00,1962-05-17,60,Area Sales Manager,Madison Wilson,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Sales,Project Management - Con,TX,Technician,Female,Hispanic,Widowed,Fully Meets,2
3480,2022-09-08,2022-10-16,38 days 00:00:00,1946-08-09,76,Area Sales Manager,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,Sales,Catv,TX,Supervisor,Female,Black,Widowed,Fully Meets,1
3481,2019-03-07,2021-05-31,816 days 00:00:00,1965-12-11,55,Area Sales Manager,Brandon Harris,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Sales,Wireline Construction,TX,Splicer,Male,Other,Widowed,Fully Meets,4
3482,2019-10-29,2021-02-07,467 days 00:00:00,1990-02-11,31,Area Sales Manager,Matthew Flores,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Sales,Catv,TX,Lineman,Male,Asian,Divorced,Needs Improvement,2
3483,2021-09-26,,Active,1964-06-19,,Area Sales Manager,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Active,Sales,Project Management - Con,CO,Coordinator,Male,Asian,Widowed,Fully Meets,1
3484,2018-08-29,,Active,1995-07-18,,Area Sales Manager,Amber Hernandez,EW,Active,Part-Time,Zone B,Full-Time,Active,Sales,General - Con,CO,Model Assistant,Male,Other,Single,Fully Meets,4
3485,2021-10-26,,Active,1994-08-22,,Area Sales Manager,Patricia Smith,MSC,Active,Contract,Zone C,Full-Time,Active,Sales,Field Operations,CO,Laborer,Male,White,Widowed,Fully Meets,5
3486,2022-10-31,2023-06-08,220 days 00:00:00,1990-11-14,32,Area Sales Manager,Victoria Krause,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Sales,Fielders,IN,Engineer,Male,Other,Widowed,Fully Meets,4
3487,2023-03-15,,Active,1994-02-01,,Area Sales Manager,Jesse Hunt,BPC,Active,Contract,Zone B,Part-Time,Active,Sales,General - Sga,KY,Administrator,Female,Other,Divorced,Fully Meets,4
3488,2022-09-09,,Active,1997-11-12,,Area Sales Manager,Shane Jones,CCDR,Active,Contract,Zone B,Full-Time,Active,Sales,Wireline Construction,KY,Lineman,Female,Asian,Single,Fully Meets,2
3489,2022-03-04,,Active,1953-05-02,,Area Sales Manager,Jessica Murphy,EW,Active,Part-Time,Zone A,Temporary,Active,Sales,Field Operations,TX,Laborer,Female,Black,Divorced,Fully Meets,2
3490,2019-02-11,,Active,1991-07-10,,Area Sales Manager,Crystal Wallace,MSC,Active,Part-Time,Zone A,Part-Time,Active,Sales,General - Sga,TX,Director,Female,Hispanic,Divorced,Fully Meets,2
3491,2021-01-26,,Active,1973-06-02,,Area Sales Manager,Tina Nelson,NEL,Active,Contract,Zone B,Full-Time,Active,Sales,Field Operations,TX,Driver,Male,White,Widowed,Fully Meets,5
3492,2019-11-26,,Active,1993-01-08,,Area Sales Manager,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Active,Sales,General - Con,CO,Clerk,Male,Asian,Married,Fully Meets,1
3493,2019-07-15,,Active,1984-04-17,,Area Sales Manager,Eric Taylor,PYZ,Active,Full-Time,Zone C,Full-Time,Active,Sales,Project Management - Con,CO,Project Manager,Male,Asian,Widowed,Fully Meets,5
3494,2020-06-18,,Active,1994-02-08,,Area Sales Manager,Jacob Snyder,SVG,Active,Contract,Zone B,Full-Time,Active,Sales,General - Con,CO,Technician,Male,Black,Single,Fully Meets,4
3495,2023-06-22,2023-07-22,30 days 00:00:00,1993-01-27,30,Area Sales Manager,Daniel Cabrera,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Sales,Wireline Construction,IN,Laborer,Male,Other,Married,Fully Meets,4
3496,2021-12-02,,Active,1964-09-19,,Area Sales Manager,Barbara Garcia,WBL,Active,Contract,Zone A,Part-Time,Active,Sales,General - Sga,CA,Administrator,Male,Other,Widowed,Fully Meets,5
3497,2021-12-08,,Active,1981-02-18,,Area Sales Manager,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Active,Sales,Project Management - Con,OR,Lineman,Female,Hispanic,Widowed,Fully Meets,1
3498,2023-04-26,2023-06-22,57 days 00:00:00,1998-10-17,24,Area Sales Manager,Peter Harvey,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,Sales,General - Sga,KY,Laborer,Female,White,Widowed,Fully Meets,2
3499,2018-09-25,2021-12-20,1182 days 00:00:00,1971-01-16,50,Area Sales Manager,Patrick Daniel,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Sales,Field Operations,KY,Technician,Female,Asian,Widowed,Fully Meets,5
3500,2018-11-20,2020-06-21,579 days 00:00:00,2000-02-25,20,Area Sales Manager,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Sales,Shop (Fleet),TX,Mechanic,Female,White,Divorced,Fully Meets,1
3501,2020-08-30,2022-08-30,730 days 00:00:00,1959-04-19,63,Area Sales Manager,Destiny Hopkins,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Sales,General - Con,TX,Technician,Male,Other,Widowed,Fully Meets,4
3502,2019-10-01,,Active,1976-06-29,,Area Sales Manager,Angela Morris,BPC,Active,Full-Time,Zone C,Temporary,Active,Sales,Splicing,TX,Electrician,Male,White,Married,Fully Meets,1
3503,2022-01-20,,Active,1951-07-27,,Area Sales Manager,Erica Franklin,CCDR,Active,Part-Time,Zone A,Temporary,Active,Sales,Project Management - Con,CO,Manager,Male,Other,Single,Fully Meets,4
3504,2021-10-10,,Active,1980-08-23,,Area Sales Manager,Gabriela Orr,SVG,Active,Full-Time,Zone B,Part-Time,Active,Sales,General - Con,CO,Laborer,Male,Hispanic,Married,Fully Meets,2
3505,2020-08-29,,Active,1943-07-24,,Area Sales Manager,Michael Wilkins,EW,Active,Contract,Zone B,Temporary,Active,Sales,Field Operations,IN,Groundman,Male,Hispanic,Widowed,Fully Meets,1
3506,2019-08-27,2023-05-10,1352 days 00:00:00,1988-07-06,34,Area Sales Manager,Jordan Vega,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,Sales,Field Operations,IN,Technician,Male,Other,Married,Fully Meets,2
3507,2021-02-25,2023-04-07,771 days 00:00:00,1973-03-24,50,Area Sales Manager,John Miller,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Sales,Project Management - Con,CA,Manager,Male,White,Single,Fully Meets,4
3508,2021-07-13,,Active,1942-05-26,,Area Sales Manager,Trevor Adkins,CCDR,Active,Full-Time,Zone B,Part-Time,Active,Sales,Aerial,OR,Laborer,Male,Asian,Single,Fully Meets,5
3509,2021-04-14,,Active,1977-11-04,,Area Sales Manager,Marcus Hunt,BPC,Active,Part-Time,Zone C,Full-Time,Active,Sales,General - Sga,KY,Project Controls,Female,Black,Married,Fully Meets,2
3510,2020-02-10,,Active,1956-10-17,,Area Sales Manager,Jennifer King,PYZ,Active,Part-Time,Zone A,Full-Time,Active,Sales,General - Con,KY,Laborer,Female,Hispanic,Married,Fully Meets,2
3511,2021-08-17,2021-12-31,136 days 00:00:00,1997-02-18,24,Area Sales Manager,Shawn Dudley,WBL,Active,Part-Time,Zone B,Full-Time,Resignation,Sales,Finance & Accounting,KY,Director,Female,Asian,Divorced,Fully Meets,4
3512,2023-04-17,2023-06-22,66 days 00:00:00,1996-10-25,26,Area Sales Manager,Lindsay Chang,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,Sales,Yard (Material Handling),TX,Coordinator,Female,Black,Single,Fully Meets,2
3513,2022-09-02,2023-05-24,264 days 00:00:00,1959-11-13,63,Area Sales Manager,Sharon Ruiz,PL,Future Start,Contract,Zone C,Temporary,Involuntary,Sales,General - Con,TX,Laborer,Male,Other,Married,Fully Meets,5
3514,2020-04-15,,Active,1958-01-03,,Area Sales Manager,April Randolph,BPC,Active,Full-Time,Zone B,Part-Time,Active,Sales,Wireline Construction,TX,Manager,Male,Asian,Married,Fully Meets,1
3515,2022-03-09,2022-12-10,276 days 00:00:00,1997-04-29,25,Area Sales Manager,Mary Reilly,CCDR,Future Start,Part-Time,Zone A,Part-Time,Retirement,Sales,Finance & Accounting,CO,Controller,Male,White,Single,Fully Meets,4
3516,2022-04-07,2023-01-22,290 days 00:00:00,1988-06-25,34,Area Sales Manager,Eric Goodman,SVG,Active,Contract,Zone B,Part-Time,Retirement,Sales,Project Management - Con,CO,Coordinator,Male,Asian,Divorced,Fully Meets,5
3517,2020-02-19,,Active,1942-01-04,,Area Sales Manager,Caleb Schneider,EW,Active,Part-Time,Zone A,Part-Time,Active,Sales,Splicing,IN,Splicer,Male,Hispanic,Widowed,Fully Meets,4
3518,2021-04-10,2022-07-04,450 days 00:00:00,1969-05-24,53,Area Sales Manager,Cheryl Henry,MSC,Active,Contract,Zone B,Part-Time,Involuntary,Sales,General - Eng,CA,Coordinator,Female,Hispanic,Married,Fully Meets,2
3519,2021-12-19,2022-03-02,73 days 00:00:00,1951-03-28,70,Area Sales Manager,Dan Hernandez,TNS,Active,Part-Time,Zone C,Temporary,Resignation,Sales,Aerial,CA,Groundman,Male,Hispanic,Widowed,Fully Meets,2
3520,2020-12-13,2023-01-13,761 days 00:00:00,1963-03-01,59,Area Sales Manager,Teresa Daniel,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,Sales,Project Management - Con,ND,Manager,Female,Black,Divorced,Fully Meets,1
3521,2019-02-26,,Active,1949-04-16,,Area Sales Manager,Melissa Decker,WBL,Active,Contract,Zone C,Part-Time,Active,Sales,General - Con,KY,Electrician,Female,Asian,Divorced,Fully Meets,4
3522,2020-03-02,,Active,1983-10-12,,Area Sales Manager,Michael Nguyen,BPC,Active,Full-Time,Zone C,Part-Time,Active,Sales,Splicing,KY,Splicer,Female,Other,Single,Fully Meets,1
3523,2021-06-25,2022-08-25,426 days 00:00:00,1978-12-19,43,Area Sales Manager,Tony Mcconnell,CCDR,Active,Full-Time,Zone A,Temporary,Resignation,Sales,General - Con,KY,Laborer,Female,Other,Single,Fully Meets,2
3524,2021-07-26,2022-05-04,282 days 00:00:00,1999-11-11,22,Area Sales Manager,Adam Gibson,EW,Future Start,Contract,Zone B,Full-Time,Resignation,Sales,Field Operations,TX,Laborer,Male,Asian,Divorced,Fully Meets,2
3525,2022-07-03,2023-01-10,191 days 00:00:00,1967-01-29,55,Area Sales Manager,Stephanie Duke,MSC,Future Start,Contract,Zone B,Temporary,Retirement,Sales,General - Con,TX,Foreman,Male,Hispanic,Single,Fully Meets,2
3526,2022-09-15,,Active,1948-05-30,,Area Sales Manager,Paige Flores MD,NEL,Active,Full-Time,Zone B,Full-Time,Active,Sales,General - Con,TX,Foreman,Male,White,Widowed,Fully Meets,4
3527,2020-05-01,2021-02-25,300 days 00:00:00,1974-10-15,46,Area Sales Manager,Hannah Snyder,PL,Active,Full-Time,Zone B,Temporary,Retirement,Sales,Aerial,CO,Lineman,Male,Black,Married,Fully Meets,1
3528,2022-10-13,,Active,1991-12-13,,Area Sales Manager,William Ayala,PYZ,Active,Full-Time,Zone C,Part-Time,Active,Sales,Finance & Accounting,CO,Accounting,Male,Hispanic,Widowed,Fully Meets,2
3529,2020-01-03,2020-08-24,234 days 00:00:00,1994-06-18,26,Area Sales Manager,Samuel Moore,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,Sales,Field Operations,IN,Top Hand,Male,Hispanic,Single,Fully Meets,2
3530,2019-11-13,,Active,1993-06-16,,Area Sales Manager,Jenna Weaver,TNS,Active,Full-Time,Zone B,Part-Time,Active,Sales,Field Operations,CA,Tower Hand,Female,Black,Widowed,Fully Meets,2
3531,2023-06-17,,Active,1943-05-18,,Area Sales Manager,Dylan Blake,WBL,Active,Full-Time,Zone C,Full-Time,Active,Sales,Project Management - Con,CA,Project Manager,Male,Black,Divorced,Fully Meets,1
3532,2021-10-14,,Active,1966-11-27,,Area Sales Manager,Monique Anderson,EW,Active,Part-Time,Zone B,Full-Time,Active,IT/IS,Wireless,OR,Technician,Female,Black,Widowed,Fully Meets,1
3533,2021-06-01,2023-07-16,775 days 00:00:00,1966-11-12,56,Area Sales Manager,Kelsey Gibson,MSC,Active,Contract,Zone B,Full-Time,Voluntary,Sales,General - Sga,ND,Administrator,Male,White,Married,Fully Meets,2
3534,2018-09-14,,Active,1959-08-16,,Area Sales Manager,Sonia Diaz,TNS,Active,Full-Time,Zone A,Full-Time,Active,Sales,Engineers,KY,Engineer,Female,Asian,Single,Fully Meets,4
3535,2018-12-11,2022-06-02,1269 days 00:00:00,1994-02-02,28,Area Sales Manager,Brian Morton,PYZ,Active,Full-Time,Zone A,Temporary,Retirement,Sales,Fielders,KY,Engineer,Female,Black,Single,Fully Meets,4
3536,2022-08-06,,Active,1989-01-02,,Area Sales Manager,Thomas Holmes,WBL,Active,Contract,Zone C,Temporary,Active,Sales,General - Sga,GA,Administrative,Female,Black,Single,Fully Meets,2
3537,2022-05-28,2023-02-24,272 days 00:00:00,1954-07-11,68,Area Sales Manager,Dawn Perez,NEL,Future Start,Contract,Zone C,Part-Time,Retirement,Sales,Field Operations,TX,Foreman,Male,Hispanic,Married,Fully Meets,2
3538,2019-06-16,2022-03-05,993 days 00:00:00,1959-08-29,62,Area Sales Manager,Diane Parker,PL,Future Start,Part-Time,Zone C,Part-Time,Resignation,Sales,Fielders,TX,Engineer,Male,Asian,Widowed,Fully Meets,2
3539,2019-12-08,,Active,1983-11-27,,Area Sales Manager,John Johnson,BPC,Active,Full-Time,Zone C,Temporary,Active,Sales,General - Con,CO,Foreman,Male,Hispanic,Single,Fully Meets,5
3540,2020-03-12,2022-10-09,941 days 00:00:00,1983-06-09,39,Area Sales Manager,Dakota Robinson,CCDR,Active,Full-Time,Zone B,Part-Time,Retirement,Sales,Splicing,CO,Supervisor,Male,White,Widowed,Exceeds,4
3541,2020-04-06,2023-07-24,1204 days 00:00:00,1991-10-27,31,Area Sales Manager,Melanie Garcia,SVG,Active,Full-Time,Zone B,Full-Time,Involuntary,Sales,Field Operations,IN,Technician,Male,Black,Married,Exceeds,2
3542,2023-04-15,,Active,1948-03-01,,Area Sales Manager,Amanda Knight,EW,Active,Contract,Zone A,Temporary,Active,Sales,Field Operations,IN,Manager,Male,White,Married,Needs Improvement,1
3543,2020-11-10,,Active,1981-02-18,,Area Sales Manager,Kimberly Cardenas,MSC,Active,Part-Time,Zone A,Temporary,Active,Sales,General - Con,CA,Laborer,Female,Black,Single,Fully Meets,2
3544,2023-06-29,2023-07-09,10 days 00:00:00,2000-09-16,22,Area Sales Manager,Laura Salinas,TNS,Active,Contract,Zone A,Temporary,Retirement,Sales,Aerial,CA,Foreman,Male,Asian,Single,Fully Meets,2
3545,2022-03-07,,Active,1943-01-28,,Area Sales Manager,Andres Jones,EW,Active,Full-Time,Zone C,Temporary,Active,IT/IS,Field Operations,OR,Locator,Female,Black,Widowed,Fully Meets,1
3546,2021-07-31,2023-01-27,545 days 00:00:00,1980-07-14,42,Area Sales Manager,Jeffrey Huffman,CCDR,Active,Full-Time,Zone B,Part-Time,Voluntary,Sales,General - Con,ND,Foreman,Male,Hispanic,Widowed,Exceeds,1
3547,2022-01-20,,Active,1947-03-25,,Area Sales Manager,Sara Edwards,BPC,Active,Contract,Zone B,Full-Time,Active,Sales,Project Management - Eng,KY,Supervisor,Female,Other,Married,Needs Improvement,2
3548,2021-07-11,2022-10-10,456 days 00:00:00,1964-01-25,58,Area Sales Manager,Stephen Garcia,WBL,Active,Part-Time,Zone A,Full-Time,Resignation,Sales,General - Con,KY,Technician,Female,White,Single,Fully Meets,1
